prov_origen;depto_origen;prov_destino;depto_destino;hora_incio;cantidad_tren;cantidad_subte;cantidad_bus;cantidad_as;cantidad_transbordo;pobl2010_origen;pobl2010_destino
6;410;6;749;5;3;0;29;7;12;167824;166803
2;5;6;35;5;103;643;2376;444;1116;179005;342464
6;119;6;91;5;0;0;54;11;16;26367;324244
6;134;6;329;5;0;0;1;0;0;51892;14889
2;13;6;245;5;1;2;2;0;2;232094;56729
6;490;6;270;5;811;4;2477;633;1026;616279;163671
6;882;6;658;5;0;1;4;1;1;114269;581314
6;658;6;35;5;444;28;22202;5203;3963;581314;342464
6;274;2;4;5;380;15;3847;922;1417;426005;218245
6;497;6;134;5;0;0;1;0;0;106273;51892
6;408;6;412;5;326;1;1210;353;511;180423;265981
